area,address,full_address,number,price_sold,date,matcher,year,annual_average_price_difference,lat,long
Old Quarter,Millers Court,"65 Millers Court, Old Quarter",65,399999,2018-07-16,Millers,2018,,51.89114003596089,-8.59633561033392
Fionn Laoi,Woodview,"35 Woodview, Fionn Laoi",35,350000,2018-07-13,Woodview,2018,,51.89295672639931,-8.577244778805012
Fionn Laoi,Woodview,"20 Woodview, Fionn Laoi",20,330000,2018-07-12,Woodview,2018,,51.89295672639931,-8.577244778805012
Maglin,Maglin View,"9 Maglin View, Maglin",9,386000,2018-07-11,Maglin,2018,-0.06349206349206349,51.88135112776452,-8.59523805920491
Classis Lake,The Abbey,"28 The Abbey, Classis Lake",28,220000,2018-07-10,Abbey,2018,,51.88586099008718,-8.62822296864587
Old Quarter,Coopers Grange,"129 Coopers Grange, Old Quarter",129,395000,2018-07-06,Coopers,2018,,51.89114003596089,-8.59633561033392
The Cloisters,The Cloisters,"63 The Cloisters, The Cloisters",63,280000,2018-07-06,Cloisters,2018,-0.13846153846153847,51.88453436126935,-8.578108099687265
Coolroe,Coolroe Court,"4 Coolroe Court, Coolroe",4,450775,2018-07-05,Coolroe,2018,,51.885279789132504,-8.622716969745719
The Maltings,Granary Court,"21 Granary Court, The Maltings",21,200000,2018-07-04,Granary,2018,,51.88503727921537,-8.591352822622822
Fionn Laoi,Woodview,"29 Woodview, Fionn Laoi",29,330000,2018-06-28,Woodview,2018,,51.89295672639931,-8.577244778805012
Fionn Laoi,Woodview,"26 Woodview, Fionn Laoi",26,330000,2018-06-26,Woodview,2018,,51.89295672639931,-8.577244778805012
Muskerry Estate,Maple Lawn,"79 Maple Lawn, Muskerry Estate",79,335000,2018-06-12,Maple,2018,,51.885514844369936,-8.596310161258103
Old Quarter,Millers Court,"109 Millers Court, Old Quarter",109,460000,2018-06-11,Millers,2018,,51.89114003596089,-8.59633561033392
Steeplewoods,Steeplewoods,"1 Steeplewoods, Steeplewoods",1,896650,2018-06-05,Steeplewoods,2018,,51.88978058994379,-8.565944853663783
Old Quarter,Millers Court,"110 Millers Court, Old Quarter",110,620000,2018-06-01,Millers,2018,,51.89114003596089,-8.59633561033392
Coolroe,The Lawn,"79 The Lawn, Coolroe",79,320000,2018-05-31,Lawn,2018,,51.885279789132504,-8.622716969745719
The Cloisters,The Cloisters,"41 The Cloisters, The Cloisters",41,265000,2018-05-30,Cloisters,2018,-0.13846153846153847,51.88453436126935,-8.578108099687265
The Crescent,The Crescent,"13 The Crescent, The Crescent",13,126571,2018-05-29,Crescent,2018,,51.88974689003794,-8.592724974545812
Wyndham Downs,The Grove Wyndham Downs,"22 The Grove Wyndham Downs, Wyndham Downs",22,287000,2018-05-25,Grove,2018,,51.88594295587414,-8.620296147557605
Highfield Park,The Square,"26 The Square, Highfield Park",26,251000,2018-05-25,Square,2018,,51.88438631124541,-8.574891410855766
An Caislean,Tara An Caislan,"14 Tara An Caislan, An Caislean",14,220000,2018-05-24,Tara,2018,,51.88419579207018,-8.604721941977742
Old Quarter,Millers Court,"10 Millers Court, Old Quarter",10,250000,2018-05-22,Millers,2018,,51.89114003596089,-8.59633561033392
Carrigrohanebeg,The Willows,"201 The Willows, Carrigrohanebeg",201,223000,2018-05-17,Willows,2018,,51.89309917070151,-8.580849757357647
Old Quarter,Millers Court,"66 Millers Court, Old Quarter",66,385000,2018-05-16,Millers,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,"15 Millers Court, Old Quarter",15,258000,2018-05-14,Millers,2018,,51.89114003596089,-8.59633561033392
Parknamore,Parknamore,"11 Parknamore, Parknamore",11,280000,2018-04-30,Parknamore,2018,,51.88458744794133,-8.609309161051812
Powdermills,Mill Range,"15 Mill Range, Powdermills",15,230000,2018-04-26,Mill,2018,,51.89225015549648,-8.586096438526356
Maglin,Glincool Crescent,"15 Glincool Crescent, Maglin",15,295000,2018-04-23,Glincool,2018,-0.06349206349206349,51.88135112776452,-8.59523805920491
An Caislean,An Caislean,"112 An Caislean, An Caislean",112,266000,2018-04-20,Caislean,2018,,51.88419579207018,-8.604721941977742
Daffodil Fields,Daffodil Fields,"45 Daffodil Fields, Daffodil Fields",45,355000,2018-04-20,Daffodil,2018,,51.89114262893351,-8.573402430369397
Town Center,Tus Abhaile,"3 Tus Abhaile, Town Center",3,203500,2018-04-19,Tus,2018,,51.8878563321983,-8.600737381727024
Old Quarter,Millers Court,"67 Millers Court, Old Quarter",67,385000,2018-04-19,Millers,2018,,51.89114003596089,-8.59633561033392
Classis Lake,Oak Avenue,"10 Oak Avenue, Classis Lake",10,245000,2018-04-18,Oak,2018,,51.88586099008718,-8.62822296864587
Old Quarter,Millers Court,"70 Millers Court, Old Quarter",70,385000,2018-04-18,Millers,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Leslies Arch,"2 Leslies Arch, Old Quarter",2,467620,2018-04-11,Leslies,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Coopers Grange,"82 Coopers Grange, Old Quarter",82,339000,2018-04-06,Coopers,2018,,51.89114003596089,-8.59633561033392
Coolroe,Coolroe Heights,"33 Coolroe Heights, Coolroe",33,252000,2018-04-05,Coolroe,2018,,51.885279789132504,-8.622716969745719
The Maltings,Distillery Court,"27 Distillery Court, The Maltings",27,210000,2018-04-04,Distillery,2018,,51.88503727921537,-8.591352822622822
Old Quarter,Millers Court,"68 Millers Court, Old Quarter",68,335000,2018-04-04,Millers,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,"69 Millers Court, Old Quarter",69,380225,2018-04-03,Millers,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Coopers Grange,"108 Coopers Grange, Old Quarter",108,465000,2018-03-29,Coopers,2018,,51.89114003596089,-8.59633561033392
Maglin,Glincool Crescent,"9 Glincool Crescent, Maglin",9,310000,2018-03-28,Glincool,2018,-0.06349206349206349,51.88135112776452,-8.59523805920491
Daffodil Fields,Daffodil Fields,"25 Daffodil Fields, Daffodil Fields",25,470000,2018-03-28,Daffodil,2018,,51.89114262893351,-8.573402430369397
Old Quarter,Coopers Grange,"10 Coopers Grange, Old Quarter",10,280000,2018-03-26,Coopers,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,"71 Millers Court, Old Quarter",71,384820,2018-03-22,Millers,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Leslies Arch Old Quarter,"18 Leslies Arch Old Quarter, Old Quarter",18,190000,2018-03-18,Leslies,2018,,51.89114003596089,-8.59633561033392
Aylsbury,Aylsbury Avenue,"14 Aylsbury Avenue, Aylsbury",14,345000,2018-03-16,Aylsbury,2018,,51.88284449037205,-8.620440916875388
Classis Lake,Chestnut Cresent,"9 Chestnut Cresent, Classis Lake",9,500000,2018-03-15,Chestnut,2018,,51.88586099008718,-8.62822296864587
Rosewood,Rosewood,"8 Rosewood, Rosewood",8,235000,2018-03-09,Rosewood,2018,-0.265625,51.88865181082447,-8.575978970851866
Heathfield,The Avenue,"3 The Avenue, Heathfield",3,380000,2019-12-19,Avenue,2019,,51.88275370396547,-8.57522707085204
Coolroe,The Green,"51 The Green, Coolroe",51,331000,2019-12-18,Green,2019,-0.013882762939366715,51.885279789132504,-8.622716969745719
Old Quarter,The Cresent,"11 The Cresent, Old Quarter",11,260000,2019-12-17,Cresent,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Inniscarra View,Whitethorn Avenue,"13 Whitethorn Avenue, Inniscarra View",13,300000,2019-12-17,Whitethorn,2019,,51.88901621244116,-8.572065214668026
Old Quarter,Leslies Arch,"27 Leslies Arch, Old Quarter",27,360000,2019-12-17,Leslies,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Carrigrohanebeg,The Willows,"191 The Willows, Carrigrohanebeg",191,251000,2019-12-16,Willows,2019,0.002,51.89309917070151,-8.580849757357647
Carrigrohanebeg,The Willows,"204 The Willows, Carrigrohanebeg",204,220000,2019-12-16,Willows,2019,0.002,51.89309917070151,-8.580849757357647
Carrigrohanebeg,The Willows,"1 The Willows, Carrigrohanebeg",1,228000,2019-12-16,Willows,2019,0.002,51.89309917070151,-8.580849757357647
Old Quarter,Coopers Grange,"30 Coopers Grange, Old Quarter",30,399999,2019-12-16,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,"9 Millers Court, Old Quarter",9,325000,2019-12-09,Millers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Muskerry Estate,Castle Avenue,"11 Castle Avenue, Muskerry Estate",11,255000,2019-12-05,Castle,2019,-0.03571428571428571,51.885514844369936,-8.596310161258103
Old Quarter,Coopers Grange,"37 Coopers Grange, Old Quarter",37,400000,2019-12-05,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Old Quarter,Coopers Grange,"2 Coopers Grange, Old Quarter",2,475000,2019-12-04,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Classis Lake,The Heathers,"24 The Heathers, Classis Lake",24,277500,2019-12-04,Heathers,2019,,51.88586099008718,-8.62822296864587
Westgrove,Westgrove,"17 Westgrove, Westgrove",17,363000,2019-11-29,Westgrove,2019,,51.88676931020199,-8.6146432996872
Old Quarter,Coopers Grange,"3 Coopers Grange, Old Quarter",3,474999,2019-11-25,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Castlepark,Castlepark,"6 Castlepark, Castlepark",6,199000,2019-11-20,Castlepark,2019,,51.88653927567583,-8.585310716875346
Rosewood,Rosewood Estate,"84 Rosewood Estate, Rosewood",84,350000,2019-11-18,Rosewood,2019,-0.04375,51.88865181082447,-8.575978970851866
The Cloisters,The Cloisters,"88 The Cloisters, The Cloisters",88,282000,2019-11-14,Cloisters,2019,0.0034090909090909102,51.88453436126935,-8.578108099687265
Manor Hill,Manor Hill,"3 Manor Hill, Manor Hill",3,268000,2019-11-13,Manor,2019,0.1590909090909091,51.89121035709487,-8.575907457357648
An Caislean,Newgrange,"16 Newgrange, An Caislean",16,215000,2019-11-13,Newgrange,2019,-0.024255374255374256,51.88419579207018,-8.604721941977742
Coolroe,The Green,"92 The Green, Coolroe",92,330000,2019-11-11,Green,2019,-0.013882762939366715,51.885279789132504,-8.622716969745719
Old Quarter,Coopers Grange,"71 Coopers Grange, Old Quarter",71,265000,2019-11-11,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
An Caislean,Caislean Drive,"68 Caislean Drive, An Caislean",68,267500,2019-11-08,Caislean,2019,-0.024255374255374256,51.88419579207018,-8.604721941977742
Coolroe,The Close,"31 The Close, Coolroe",31,360000,2019-11-07,Close,2019,-0.013882762939366715,51.885279789132504,-8.622716969745719
Powdermills,Longrange,"22 Longrange, Powdermills",22,245000,2019-11-06,Longrange,2019,,51.89225015549648,-8.586096438526356
Old Quarter,Millers Court,"27 Millers Court, Old Quarter",27,550000,2020-04-15,Millers,2020,,51.89114003596089,-8.59633561033392
Shalimar Court,Shalimar Court,"10 Shalimar Court, Shalimar Court",10,220000,2020-04-14,Shalimar,2020,,51.88896130535807,-8.578969730369383
Westcourt,Westcourt,"67 Westcourt, Westcourt",67,377000,2020-04-09,Westcourt,2020,,51.88681255417706,-8.616295628522487
Aylsbury,Aylsbury Mews,"3 Aylsbury Mews, Aylsbury",3,380000,2020-04-09,Aylsbury,2020,0.0,51.88284449037205,-8.620440916875388
Classis Lake,The Lodge Classes Lake,"13 The Lodge Classes Lake, Classis Lake",13,220000,2020-04-08,Lodge,2020,,51.88586099008718,-8.62822296864587
Wyndham Downs,The Grove,"11 The Grove, Wyndham Downs",11,275000,2020-04-07,Grove,2020,,51.88594295587414,-8.620296147557605
Westcourt,Westcourt Heights,"46 Westcourt Heights, Westcourt",46,317500,2020-04-06,Westcourt,2020,,51.88681255417706,-8.616295628522487
The Cloisters,The Cloisters,"66 The Cloisters, The Cloisters",66,280000,2020-04-06,Cloisters,2020,,51.88453436126935,-8.578108099687265
The Quadrants,North East,"125 North East, The Quadrants",125,182500,2021-03-02,North,2021,,51.8890702782036,-8.589706799326772
Rosewood,Rosewood,"9 Rosewood, Rosewood",9,320000,2021-03-01,Rosewood,2021,0.0847457627118644,51.88865181082447,-8.575978970851866
Rosewood,Rosewood,"10 Rosewood, Rosewood",10,277000,2021-02-26,Rosewood,2021,0.0847457627118644,51.88865181082447,-8.575978970851866
Beech Park,Beech Park,"69 Beech Park, Beech Park",69,252500,2021-02-23,Beech,2021,0.030612244897959183,51.884462825784524,-8.586660730369518
Town Center,Church View,"43 Church View, Town Center",43,112500,2021-02-16,Church,2021,0.08813559322033898,51.8878563321983,-8.600737381727024
Old Quarter,Coopers Grange,"73 Coopers Grange, Old Quarter",73,347000,2021-02-15,Coopers,2021,-0.012382731423827315,51.89114003596089,-8.59633561033392
The Crescent,The Crescent,"54 The Crescent, The Crescent",54,255000,2021-02-09,Crescent,2021,,51.88974689003794,-8.592724974545812
Westcourt,Westcourt Heights,"37 Westcourt Heights, Westcourt",37,285000,2021-02-05,Westcourt,2021,,51.88681255417706,-8.616295628522487
Greenfields,Old Court,"5 Old Court, Greenfields",5,425000,2019-11-04,Old,2019,,51.87941701969475,-8.620193493581136
The Maltings,Barley Grove,"26 Barley Grove, The Maltings",26,242500,2019-11-04,Barley,2019,,51.88503727921537,-8.591352822622822
Station Road,Tudor Grove,"4 Tudor Grove, Station Road",4,250000,2019-11-04,Tudor,2019,,51.885856656204545,-8.590996730369481
Greenfield,Greenfield Road," Greenfield Road, Greenfield",,555000,2019-11-01,Greenfield,2019,,51.88072634468435,-8.611355403381312
An Caislean,Caislean Drive,"73 Caislean Drive, An Caislean",73,280000,2019-10-31,Caislean,2019,-0.024255374255374256,51.88419579207018,-8.604721941977742
Carriganarra,Carriganarra,"4 Carriganarra, Carriganarra",4,325000,2019-10-30,Carriganarra,2019,-0.07142857142857142,51.88456579585057,-8.579854607281877
Maglin,Glincool Villas,"9 Glincool Villas, Maglin",9,260000,2019-10-29,Glincool,2019,,51.88135112776452,-8.59523805920491
Old Quarter,Leslies Arch,"102 Leslies Arch, Old Quarter",102,275000,2019-10-29,Leslies,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Castlepark,Castlepark,"42 Castlepark, Castlepark",42,185000,2019-10-28,Castlepark,2019,,51.88653927567583,-8.585310716875346
Greenfield,Oldcourt,"4 Oldcourt, Greenfield",4,433000,2019-10-25,Oldcourt,2019,,51.88072634468435,-8.611355403381312
Old Quarter,Coopers Grange,"21 Coopers Grange, Old Quarter",21,359999,2019-06-27,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Coolroe,The Lawn,"31 The Lawn, Coolroe",31,270000,2019-06-25,Lawn,2019,-0.013882762939366715,51.885279789132504,-8.622716969745719
Manor Hill,Manor Hill,"35 Manor Hill, Manor Hill",35,255000,2019-06-25,Manor,2019,0.1590909090909091,51.89121035709487,-8.575907457357648
Classis Lake,The Brambles,"40 The Brambles, Classis Lake",40,311000,2019-06-21,Brambles,2019,,51.88586099008718,-8.62822296864587
Parknamore,Parknamore Heights,"43 Parknamore Heights, Parknamore",43,323475,2019-06-21,Parknamore,2019,-0.016296296296296295,51.88458744794133,-8.609309161051812
Old Quarter,Coopers Grange,"54 Coopers Grange, Old Quarter",54,290000,2019-06-17,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Old Quarter,Coopers Grange,"98 Coopers Grange, Old Quarter",98,310000,2019-06-17,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Castle Road,Castle Lodge,"1 Castle Lodge, Castle Road",1,320000,2019-06-17,Castle,2019,,51.88234227885883,-8.59817565735788
Town Center,Carrigdene,"8 Carrigdene, Town Center",8,290000,2020-04-02,Carrigdene,2020,0.07692307692307693,51.8878563321983,-8.600737381727024
Muskerry Estate,Pine Walk,"130 Pine Walk, Muskerry Estate",130,270000,2020-03-31,Pine,2020,,51.885514844369936,-8.596310161258103
Maglin,Maglin Green,"3 Maglin Green, Maglin",3,479999,2020-03-30,Maglin,2020,-0.07096774193548387,51.88135112776452,-8.59523805920491
Rosewood,Rosewood,"166 Rosewood, Rosewood",166,250000,2020-03-26,Rosewood,2020,-0.017543859649122806,51.88865181082447,-8.575978970851866
Coolroe,The Lawn,"71 The Lawn, Coolroe",71,330000,2020-03-20,Lawn,2020,,51.885279789132504,-8.622716969745719
Coolroe,Coolroe," Coolroe, Coolroe",,225000,2020-03-20,Coolroe,2020,,51.885279789132504,-8.622716969745719
Aylsbury,Aylsbury,"21 Aylsbury, Aylsbury",21,320000,2020-03-19,Aylsbury,2020,0.0,51.88284449037205,-8.620440916875388
Maglin,Glincool Grove,"11 Glincool Grove, Maglin",11,303000,2020-03-18,Glincool,2020,-0.07096774193548387,51.88135112776452,-8.59523805920491
Carriganarra,Carriganarra,"7 Carriganarra, Carriganarra",7,316000,2020-03-12,Carriganarra,2020,,51.88456579585057,-8.579854607281877
Maglin,Maglin Green,"2 Maglin Green, Maglin",2,480000,2020-03-11,Maglin,2020,-0.07096774193548387,51.88135112776452,-8.59523805920491
West Village,The Meadows,"9 The Meadows, West Village",9,250000,2021-02-04,Meadows,2021,-0.0196078431372549,51.88675485217772,-8.606397553304374
Old Quarter,Leslies Arch,"114 Leslies Arch, Old Quarter",114,280000,2021-02-04,Leslies,2021,-0.012382731423827315,51.89114003596089,-8.59633561033392
Town Center,Time Square,"4 Time Square, Town Center",4,180000,2021-02-04,Time,2021,0.08813559322033898,51.8878563321983,-8.600737381727024
An Caislean,An Caislean Way,"118 An Caislean Way, An Caislean",118,270000,2021-01-28,Caislean,2021,0.02177407726529392,51.88419579207018,-8.604721941977742
Maglin,Glincool Gardens,"12 Glincool Gardens, Maglin",12,305000,2021-01-26,Glincool,2021,-0.03883374689826303,51.88135112776452,-8.59523805920491
Old Quarter,Waltham Abbey,"28 Waltham Abbey, Old Quarter",28,344900,2021-01-21,Waltham,2021,-0.012382731423827315,51.89114003596089,-8.59633561033392
Rosewood,Rosewood Estate,"202 Rosewood Estate, Rosewood",202,306000,2021-01-20,Rosewood,2021,0.0847457627118644,51.88865181082447,-8.575978970851866
Old Quarter,Leslies Arch,"64 Leslies Arch, Old Quarter",64,256796,2021-01-20,Leslies,2021,-0.012382731423827315,51.89114003596089,-8.59633561033392
Maglin,Maglin Green,"11 Maglin Green, Maglin",11,299981,2021-01-18,Maglin,2021,-0.03883374689826303,51.88135112776452,-8.59523805920491
The Maltings,Distillery Court,"48 Distillery Court, The Maltings",48,220000,2021-01-18,Distillery,2021,-0.045454545454545456,51.88503727921537,-8.591352822622822
Old Quarter,Millers Court,"61 Millers Court, Old Quarter",61,399999,2019-10-25,Millers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
West Village,Kiermena,"1 Kiermena, West Village",1,540000,2019-10-25,Kiermena,2019,,51.88675485217772,-8.606397553304374
The Cloisters,The Cloisters,"92 The Cloisters, The Cloisters",92,270000,2019-10-24,Cloisters,2019,0.0034090909090909102,51.88453436126935,-8.578108099687265
The Quadrants,North East Quadrants,"168 North East Quadrants, The Quadrants",168,194000,2019-10-24,North,2019,,51.8890702782036,-8.589706799326772
Muskerry Estate,Castle Avenue,"59 Castle Avenue, Muskerry Estate",59,270000,2019-10-23,Castle,2019,-0.03571428571428571,51.885514844369936,-8.596310161258103
Heathfield,The Mews,"23 The Mews, Heathfield",23,369999,2019-10-22,Mews,2019,,51.88275370396547,-8.57522707085204
Old Quarter,Leslies Arch Old Quarter,"4 Leslies Arch Old Quarter, Old Quarter",4,395000,2019-10-21,Leslies,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Greystones,Greystones,"17 Greystones, Greystones",17,265000,2019-10-17,Greystones,2019,,51.88708566318779,-8.572495537963082
Shalimar Court,Shalimar Court,"4 Shalimar Court, Shalimar Court",4,257500,2019-10-17,Shalimar,2019,,51.88896130535807,-8.578969730369383
Old Quarter,Coopers Grange,"35 Coopers Grange, Old Quarter",35,392710,2019-10-16,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Limeworth,Limeworth,"14 Limeworth, Limeworth",14,675000,2019-06-14,Limeworth,2019,,51.88244387440602,-8.582059330369558
An Caislean,An Caislean,"153 An Caislean, An Caislean",153,255000,2019-05-31,Caislean,2019,-0.024255374255374256,51.88419579207018,-8.604721941977742
Classis Lake,Oak Avenue,"1 Oak Avenue, Classis Lake",1,251000,2019-05-28,Oak,2019,,51.88586099008718,-8.62822296864587
Greenfield,Oldcourt,"1 Oldcourt, Greenfield",1,300000,2019-05-21,Oldcourt,2019,,51.88072634468435,-8.611355403381312
West Village,Hillside,"1 Hillside, West Village",1,170000,2019-05-13,Hillside,2019,,51.88675485217772,-8.606397553304374
The Quadrants,North East Quadrant,"174 North East Quadrant, The Quadrants",174,172500,2019-05-10,North,2019,,51.8890702782036,-8.589706799326772
The Stables,The Stables,"12 The Stables, The Stables",12,340000,2019-05-09,Stables,2019,,51.88380436406558,-8.622683203381243
An Caislean,Caislean Grove,"101 Caislean Grove, An Caislean",101,255000,2019-05-03,Caislean,2019,-0.024255374255374256,51.88419579207018,-8.604721941977742
Old Quarter,Millers Court,"55 Millers Court, Old Quarter",55,345000,2019-05-03,Millers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Beech Park,Beech Park,"98 Beech Park, Beech Park",98,232000,2019-05-03,Beech,2019,0.05454545454545454,51.884462825784524,-8.586660730369518
Shalimar Court,Shalimar Court,"9 Shalimar Court, Shalimar Court",9,220000,2020-03-10,Shalimar,2020,,51.88896130535807,-8.578969730369383
Westcourt,Westcourt,"45 Westcourt, Westcourt",45,308000,2020-03-06,Westcourt,2020,,51.88681255417706,-8.616295628522487
Old Quarter,Millers Court,"30 Millers Court, Old Quarter",30,397619,2020-03-03,Millers,2020,,51.89114003596089,-8.59633561033392
Beech Park,Beech Park,"142 Beech Park, Beech Park",142,250000,2020-02-28,Beech,2020,0.025829808005206636,51.884462825784524,-8.586660730369518
Old Quarter,Coopers Grange,"34 Coopers Grange, Old Quarter",34,400000,2020-02-27,Coopers,2020,,51.89114003596089,-8.59633561033392
The Maltings,Distillery Court,"30 Distillery Court, The Maltings",30,206000,2020-02-25,Distillery,2020,-0.009633911368015413,51.88503727921537,-8.591352822622822
Greenfields,Woodberry,"38 Woodberry, Greenfields",38,485000,2020-02-24,Woodberry,2020,,51.87941701969475,-8.620193493581136
The Maltings,Distillery Court,"45 Distillery Court, The Maltings",45,220000,2020-02-24,Distillery,2020,-0.009633911368015413,51.88503727921537,-8.591352822622822
The Crescent,The Crescent,"6 The Crescent, The Crescent",6,270000,2020-02-24,Crescent,2020,,51.88974689003794,-8.592724974545812
Coolroe,Coolroe Heights,"27 Coolroe Heights, Coolroe",27,350000,2020-10-21,Coolroe,2020,,51.885279789132504,-8.622716969745719
Old Quarter,Coopers Grange,"29 Coopers Grange, Old Quarter",29,400000,2020-10-21,Coopers,2020,,51.89114003596089,-8.59633561033392
