address,baths,beds,date,price,area,geocode,lat,long
126 Caisleán Way ,4,5,2021-08-06,285000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
126 Caisleé N Way ,4,5,2021-08-06,285000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
25 Innishmore Drive ,4,5,2021-08-06,229000,Innishmore,"51.88897474404985, -8.608958999892096",51.88897474404985,-8.608958999892096
194 The Willows ,4,5,2021-08-06,249500,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
37 Millers Court Old Quarter ,4,5,2021-08-06,410000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
78 Leslies Arch Old Quarter ,4,5,2021-08-06,440000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
21 Berryfield Classes Lake ,4,5,2021-08-06,495000,Classis Lake,"51.88586099008718, -8.62822296864587",51.88586099008718,-8.62822296864587
Coolroe ,4,5,2021-08-06,380000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
39 The Brambles Classes Lake ,4,5,2021-08-06,360000,Classis Lake,"51.88586099008718, -8.62822296864587",51.88586099008718,-8.62822296864587
50 Old Court Greenfields ,4,5,2021-08-06,350000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
22 Beech Road Muskerry Estate Ballincollg ,4,5,2021-08-06,350000,Muskerry Estate,"51.885514844369936, -8.596310161258103",51.885514844369936,-8.596310161258103
79 Coopers Grange Old Quarter ,4,5,2021-08-06,345000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
8 Millers Court Old Quarter ,4,5,2021-08-06,345000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
36 Limeworth ,4,5,2021-08-06,745000,Maglin,"51.88135112776452, -8.59523805920491",51.88135112776452,-8.59523805920491
104 Caisleé N Grove ,4,5,2021-08-06,279000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
10 Aylsbury Avenue ,4,5,2021-08-06,420000,Aylsbury,"51.88284449037205, -8.620440916875388",51.88284449037205,-8.620440916875388
104 Caisleán Grove ,4,5,2021-08-06,279000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
14 The Avenue Highfield Park ,4,5,2021-08-06,325000,Highfield,"51.88483134751023, -8.573114016875365",51.88483134751023,-8.573114016875365
4 Leo Murphy Terrace ,3,2,2021-08-06,220000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
"14 The Avenue, Highfield Park, Ballincollig, Cork
                ",3,2,2021-08-06,325000,Highfield,"51.88483134751023, -8.573114016875365",51.88483134751023,-8.573114016875365
57 57A Rosewood ,3,2,2021-08-06,395000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
Vesna 57 Rosewood ,3,2,2021-08-06,395000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
"118 Castlepark, P31W899
                ",3,2,2021-08-06,210000,Castlepark,"51.88653927567583, -8.585310716875346",51.88653927567583,-8.585310716875346
36 Westcourt Heights ,3,2,2021-08-06,345000,Westcourt,"51.88681255417706, -8.616295628522487",51.88681255417706,-8.616295628522487
2 Glendower Court ,3,2,2021-08-06,315000,Glendower Court,"51.89097713659068, -8.579260601534097",51.89097713659068,-8.579260601534097
17 Coolroe Heights ,3,2,2021-08-06,295000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
72 Old Court Greenfields ,3,2,2021-08-06,435000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
72 Oldcourt Greenfield ,3,2,2021-08-06,435000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
118 Castlepark ,3,2,2021-08-06,210000,Castlepark,"51.88653927567583, -8.585310716875346",51.88653927567583,-8.585310716875346
12 The Stables Coolroe ,3,2,2021-08-06,380000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
Apartment 19 Newgrange ,3,2,2021-08-06,249000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
Apartment 19 Newgrange An Caislean ,3,2,2021-08-06,249000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
46 Coopers Grange Old Quarter ,3,2,2021-08-06,335000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
46 Coopers Grange Old Quarter ,3,2,2021-08-06,335000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
11 The Avenue Coolroe Heights ,3,2,2021-08-06,475000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
48 The Willows Classes Lake ,3,2,2021-08-06,305000,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
48 The Willows Classes Lake ,2,3,2021-08-06,305000,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
8 Parknamore Heights ,2,3,2021-08-06,300000,Parknamore,"51.88458744794133, -8.609309161051812",51.88458744794133,-8.609309161051812
22 Cranford Pines ,2,3,2021-08-06,320000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
67 Coopers Grange Old Quarter ,2,3,2021-08-06,330000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
22 Cranford Pines ,2,3,2021-08-06,320000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
The Cottage Coolroe ,2,3,2021-08-06,275000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
Clareemmlorr 57 Carriganarra Estate ,2,3,2021-08-06,285000,Carriganarra,"51.88456579585057, -8.579854607281877",51.88456579585057,-8.579854607281877
11 Rosewood ,2,3,2021-08-06,320000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
158 An Caislean View ,2,3,2021-08-06,265000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
Cliona Clash Road Carrigrohane ,2,3,2021-08-06,495000,Carrigrohane,"51.89118108080445, -8.570433423222292",51.89118108080445,-8.570433423222292
158 An Caislean View ,2,3,2021-08-06,265000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
Clareemmlorr 57 Carriganarra Estate ,2,3,2021-08-06,300000,Carriganarra,"51.88456579585057, -8.579854607281877",51.88456579585057,-8.579854607281877
98 Leslies Arch Old Quarter ,2,3,2021-08-06,350000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
1 Limeworth ,2,3,2021-08-06,875000,Maglin,"51.88135112776452, -8.59523805920491",51.88135112776452,-8.59523805920491
95 Caisleé N Grove ,2,3,2021-08-06,240000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
41 Millers Court Old Quarter ,2,3,2021-08-06,380000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
7 Highfield Avenue Highfield Park ,2,3,2021-08-06,295000,Highfield,"51.88483134751023, -8.573114016875365",51.88483134751023,-8.573114016875365
Chapel Lane Ballinora Waterfall ,2,3,2021-08-06,490000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
108 An Caislean ,2,3,2021-08-06,290000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
Benamara 8 Wyndham Downs ,2,3,2021-08-06,385000,Wyndham Downs,"51.88594295587414, -8.620296147557605",51.88594295587414,-8.620296147557605
Rozel 165 Beech Park ,2,3,2021-08-06,330000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
57 Church View ,2,3,2021-08-06,295000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
11 The Close Coolroe Meadows ,2,3,2021-08-06,525000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
63 The Cloisters ,2,3,2021-08-06,325000,The Cloisters,"51.88453436126935, -8.578108099687265",51.88453436126935,-8.578108099687265
203 Rosewood ,2,3,2021-08-06,240000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
10 Parknamore Rise ,2,3,2021-08-06,285000,Parknamore,"51.88458744794133, -8.609309161051812",51.88458744794133,-8.609309161051812
20 Parknamore Rise ,2,3,2021-08-06,260000,Parknamore,"51.88458744794133, -8.609309161051812",51.88458744794133,-8.609309161051812
Farran Ovens ,2,3,2021-08-06,325000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
167 Rosewood ,2,3,2021-08-06,325000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
104 Old Court Greenfields ,2,3,2021-08-06,450000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
22 Glincool Gardens ,2,3,2021-08-06,295000,Maglin,"51.88135112776452, -8.59523805920491",51.88135112776452,-8.59523805920491
10 Parknamore Rise ,2,3,2021-08-06,285000,Parknamore,"51.88458744794133, -8.609309161051812",51.88458744794133,-8.609309161051812
Innisfree 56 Maple Lawn ,2,3,2021-08-06,299000,Muskerry Estate,"51.885514844369936, -8.596310161258103",51.885514844369936,-8.596310161258103
48 Willow Grove Coolroe Heights ,2,3,2021-08-06,315000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
48 The Close Coolroe Meadows ,2,3,2021-08-06,339000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
Fatima Poulavone ,2,3,2021-08-06,365000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
199 The Willows ,2,3,2021-08-06,265000,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
69 Coopers Grange Old Quarter ,2,3,2021-08-06,330000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
23 The Stables Coolroe ,2,3,2021-08-06,250000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
43 Beech Park ,2,3,2021-08-06,249500,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
21 The Stables Coolroe ,2,3,2021-08-06,285000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
20 Cranford Pines ,2,3,2021-08-06,280000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
32 Aylsbury Downs ,2,3,2021-08-06,245000,Aylsbury,"51.88284449037205, -8.620440916875388",51.88284449037205,-8.620440916875388
35 Innishmore Grove ,3,3,2021-08-06,165000,Innishmore,"51.88897474404985, -8.608958999892096",51.88897474404985,-8.608958999892096
35 Innishmore Grove ,3,3,2021-08-06,165000,Innishmore,"51.88897474404985, -8.608958999892096",51.88897474404985,-8.608958999892096
32 Aylsbury Downs ,3,3,2021-08-06,245000,Aylsbury,"51.88284449037205, -8.620440916875388",51.88284449037205,-8.620440916875388
2 Leesdale Drive ,3,3,2021-08-06,255000,Carrigrohane,"51.89118108080445, -8.570433423222292",51.89118108080445,-8.570433423222292
43 Beech Park ,3,3,2021-08-06,249500,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
114 Rosewood Est ,3,3,2021-08-06,285000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
42 Woodberry Greenfields ,3,3,2021-08-06,595000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
32 Coolroe Heights ,3,3,2021-08-06,289000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
32 Coolroe Heights ,3,3,2021-08-06,295000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
17 The Heathers Classes Lake ,3,3,2021-08-06,290000,Classis Lake,"51.88586099008718, -8.62822296864587",51.88586099008718,-8.62822296864587
9 Rosewood Estate ,3,3,2021-08-06,295000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
12 Glincool Gardens ,3,3,2021-08-06,310000,Maglin,"51.88135112776452, -8.59523805920491",51.88135112776452,-8.59523805920491
118 An Caislean ,3,3,2021-08-06,280000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
118 Caisleán Way ,3,3,2021-08-06,280000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
21 Glincool Gardens ,3,3,2021-08-06,310000,Maglin,"51.88135112776452, -8.59523805920491",51.88135112776452,-8.59523805920491
4 Willow Drive Muskerry Estate ,3,3,2021-08-06,295000,Muskerry Estate,"51.885514844369936, -8.596310161258103",51.885514844369936,-8.596310161258103
37 Aisling Lawn ,3,3,2021-08-06,240000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
182 The Willows Carrigalee ,3,3,2021-08-06,275000,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
12 Highfield Square ,3,3,2021-08-06,239000,Highfield,"51.88483134751023, -8.573114016875365",51.88483134751023,-8.573114016875365
182 The Willows ,3,3,2021-08-06,275000,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
Devair 47 Church View ,3,3,2021-08-06,260000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
27 Cranford Pines ,3,3,2021-08-06,295000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
Station Road ,3,3,2021-08-06,250000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
48 Beech Park ,3,3,2021-08-06,219500,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
21 Church View Station Road ,1,3,2021-08-06,260000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
Rowan House Carrigrohane ,1,3,2021-08-06,485000,Carrigrohane,"51.89118108080445, -8.570433423222292",51.89118108080445,-8.570433423222292
The Willows Lisheens ,1,3,2021-08-06,365000,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
27 Barley Grove The Maltings ,1,3,2021-08-06,259500,The Maltings,"51.88503727921537, -8.591352822622822",51.88503727921537,-8.591352822622822
9 The Meadows West Village ,1,3,2021-08-06,255000,West Village,"51.88675485217772, -8.606397553304374",51.88675485217772,-8.606397553304374
24 An Caislean Close ,1,3,2021-08-06,259000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
18 The Brambles Classes Lake ,1,3,2021-08-06,385000,Classis Lake,"51.88586099008718, -8.62822296864587",51.88586099008718,-8.62822296864587
21 Aylsbury ,1,3,2021-08-06,320000,Aylsbury,"51.88284449037205, -8.620440916875388",51.88284449037205,-8.620440916875388
Woodberry Greenfields ,1,3,2021-08-06,475000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
31 An Caislean Drive ,1,3,2021-08-06,249500,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
Type E Heathfield Carriganarra ,1,3,2021-08-06,380000,Carriganarra,"51.88456579585057, -8.579854607281877",51.88456579585057,-8.579854607281877
"Coolroe, Ballincollig, Co. Cork
                ",1,3,2021-08-06,380000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
"36 Castlepark, Ballincollig, Ballincollig, Cork
                ",1,3,2021-08-06,225000,Castlepark,"51.88653927567583, -8.585310716875346",51.88653927567583,-8.585310716875346
10 Glincool Gardens ,1,3,2021-08-06,310000,Maglin,"51.88135112776452, -8.59523805920491",51.88135112776452,-8.59523805920491
24 The Stables Coolroe ,2,4,2021-08-06,260000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
95 An Caislean ,2,3,2021-08-06,240000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
11 The Avenue Coolroe Heights ,2,3,2021-08-06,475000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
36 Coolroe Heights ,2,3,2021-08-06,260000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
47 Churchview ,2,3,2021-08-06,260000,Church View,"51.88549636879165, -8.592625889887055",51.88549636879165,-8.592625889887055
36 Castlepark ,2,3,2021-08-06,225000,Castlepark,"51.88653927567583, -8.585310716875346",51.88653927567583,-8.585310716875346
66 Fernwalk Greenfields ,2,3,2021-08-06,780000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
45 Waltham Abbey Old Quarter ,2,3,2021-08-06,225000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
106 Millers Court Old Quarter ,2,3,2021-08-06,640000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
"Apartment 27 The Abbey The Oaks Ovens Co Cork
                ",2,3,2021-08-06,220000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
"14 Lisheen Woods Ovens Co Cork
                ",2,3,2021-08-06,450000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
126 Caisleán Way ,3,3,2021-08-06,285000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
21 Berryfield Classes Lake ,3,3,2021-08-06,495000,Classis Lake,"51.88586099008718, -8.62822296864587",51.88586099008718,-8.62822296864587
Coolroe ,3,3,2021-08-06,380000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
"Kilnaglory Ovens Cork
                ",3,3,2021-08-06,595000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
79 Coopers Grange Old Quarter ,3,3,2021-08-06,345000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
104 An Caislean Grove ,3,3,2021-08-06,279000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
"11 Lisheen Fields Ovens Cork
                ",3,3,2021-08-06,465000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
"11 Lisheen Fields Ovens Co Cork
                ",3,3,2021-08-06,465000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
"8 Beverly Ovens Co Cork
                ",3,3,2021-08-06,495000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
36 Westcourt Heights ,3,3,2021-08-06,345000,Westcourt,"51.88681255417706, -8.616295628522487",51.88681255417706,-8.616295628522487
2 Glendower Court ,3,3,2021-08-06,315000,Glendower Court,"51.89097713659068, -8.579260601534097",51.89097713659068,-8.579260601534097
17 Coolroe Heights ,3,3,2021-08-06,295000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
118 Castlepark ,2,3,2021-08-06,210000,Castlepark,"51.88653927567583, -8.585310716875346",51.88653927567583,-8.585310716875346
"49 Lisheen Fields Ovens Co Cork
                ",2,3,2021-08-06,420000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
"49 Lisheen Fields Ovens Cork P31 X030
                ",2,3,2021-08-06,420000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
"14 Lisheen Woods Ovens Cork P31Hc91
                ",2,3,2021-08-06,450000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
"20 Oak Avenue Classes Lake Ovens Co Cork
                ",2,3,2021-08-06,300000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
"Windsor Ovens Co Cork
                ",2,3,2021-08-06,450000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
67 Coopers Grange Old Quarter ,2,3,2021-08-06,330000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
"Windsor Ovens Cork P31 Dn20
                ",2,3,2021-08-06,450000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
36 Coolroe Heights ,2,3,2021-08-06,260000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
8 Wyndham Downs ,2,3,2021-08-06,385000,Wyndham Downs,"51.88594295587414, -8.620296147557605",51.88594295587414,-8.620296147557605
95 An Caislean Grove ,2,3,2021-08-06,240000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
165 Beech Park ,2,3,2021-08-06,330000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
56 Maple Lawn Muskerry Estate ,2,3,2021-08-06,299000,Muskerry Estate,"51.885514844369936, -8.596310161258103",51.885514844369936,-8.596310161258103
22 Glincool Gardens ,2,3,2021-08-06,295000,Maglin,"51.88135112776452, -8.59523805920491",51.88135112776452,-8.59523805920491
"4 Ashley Gardens Knockanemore Ovens Cork
                ",2,3,2021-08-06,450000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
203 Rosewood ,2,3,2021-08-06,240000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
20 Parknamore Rise ,1,3,2021-08-06,260000,Parknamore,"51.88458744794133, -8.609309161051812",51.88458744794133,-8.609309161051812
"4 Ashley Gardens Knockanemore Ovens Co Cork
                ",1,3,2021-08-06,450000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
Fatima Poulavone ,1,3,2021-08-06,365000,Town Center,"51.8878563321983, -8.600737381727024",51.8878563321983,-8.600737381727024
69 Coopers Grange Old Quarter ,1,3,2021-08-06,330000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
22 Rosewood ,1,3,2021-08-06,320000,Rosewood,"51.88865181082447, -8.575978970851866",51.88865181082447,-8.575978970851866
"15 The Brambles Classes Lake Ovens Co Cork
                ",1,3,2021-08-06,340000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
"15 The Brambles Classes Lake Ovens Cork
                ",1,3,2021-08-06,340000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
"Killumney Ovens Cork
                ",1,3,2021-08-06,525000,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
"4 The Stables,Ballincollig,Co Cork,P31 K658
                ",3,4,2021-08-06,445000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
"78 Leslies Arch,Old Quarter,Ballincollig,Co Cork,P31 N603
                ",3,4,2021-08-06,440000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
"9 Highfield Crescent,Ballincollig,Co Cork,P31D950
                ",3,4,2021-08-06,370000,Highfield,"51.88483134751023, -8.573114016875365",51.88483134751023,-8.573114016875365
"50 Old Court,Greenfields,Ballincollig,Co Cork,P31 Ck70
                ",3,4,2021-08-06,350000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
"5 Oaklee,Carrigrohane,Co Cork,T12 Prf9
                ",3,4,2021-08-06,730000,Carrigrohane,"51.89118108080445, -8.570433423222292",51.89118108080445,-8.570433423222292
"66 Fernwalk,Greenfields,Ballincollig,Co Cork,P31 Pr94
                ",3,4,2021-08-06,780000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
"9 Highfield Crescent,Ballincollig,Co Cork,P31D950, P31D950 €370,000
                ",4,1,2021-08-06,370000,Highfield,"51.88483134751023, -8.573114016875365",51.88483134751023,-8.573114016875365
"78 Leslies Arch,Old Quarter,Ballincollig,Co Cork,P31 N603, P31 N603 €440,000
                ",4,1,2021-08-06,440000,Old Quarter,"51.89008441064981, -8.590014945710507",51.89008441064981,-8.590014945710507
"50 Old Court,Greenfields,Ballincollig,Co Cork,P31 Ck70, P31 Ck70 €350,000
                ",4,1,2021-08-06,350000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
"5 Oaklee,Carrigrohane,Co Cork,T12 Prf9, T12 Prf9 €730,000
                ",4,1,2021-08-06,730000,Carrigrohane,"51.89118108080445, -8.570433423222292",51.89118108080445,-8.570433423222292
"66 Fernwalk,Greenfields,Ballincollig,Co Cork,P31 Pr94, P31 Pr94 €780,000
                ",4,1,2021-08-06,780000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
