country,cases,deaths,date
Albania,2,0,2020-03-09
Albania,40,1,2020-03-16
Albania,47,1,2020-03-23
Albania,123,8,2020-03-30
Albania,149,11,2020-04-06
Albania,85,2,2020-04-13
Albania,116,3,2020-04-20
Albania,164,2,2020-04-27
Albania,69,3,2020-05-04
Albania,73,0,2020-05-11
Albania,78,0,2020-05-18
Albania,52,1,2020-05-25
Albania,139,1,2020-06-01
Albania,109,1,2020-06-08
Albania,275,2,2020-06-15
Albania,406,8,2020-06-22
Albania,475,11,2020-06-29
Albania,491,21,2020-07-06
Albania,561,17,2020-07-13
Albania,636,19,2020-07-20
Albania,673,26,2020-07-27
Albania,756,28,2020-08-03
Albania,892,33,2020-08-10
Albania,969,29,2020-08-17
Albania,1047,22,2020-08-24
Albania,953,30,2020-08-31
Albania,875,36,2020-09-07
Albania,1098,18,2020-09-14
Albania,1032,28,2020-09-21
Albania,874,15,2020-09-28
Albania,1007,19,2020-10-05
Albania,1133,24,2020-10-12
Albania,1656,31,2020-10-19
Albania,2102,26,2020-10-26
Albania,2045,41,2020-11-02
Albania,3004,41,2020-11-09
Albania,3624,64,2020-11-16
Albania,4931,76,2020-11-23
Albania,4864,99,2020-11-30
Albania,5363,107,2020-12-07
Albania,5542,98,2020-12-14
Albania,4473,85,2020-12-21
Albania,3569,76,2020-12-28
Albania,4157,48,2021-01-04
Albania,4095,36,2021-01-11
Albania,4584,38,2021-01-18
Albania,5853,65,2021-01-25
Albania,7209,80,2021-02-01
Albania,7739,95,2021-02-08
Albania,7171,111,2021-02-15
Andorra,5,0,2020-03-16
Andorra,108,0,2020-03-23
Andorra,221,6,2020-03-30
Andorra,167,12,2020-04-06
Andorra,137,11,2020-04-13
Andorra,75,7,2020-04-20
Andorra,27,4,2020-04-27
Andorra,8,5,2020-05-04
Andorra,7,3,2020-05-11
Andorra,6,3,2020-05-18
Andorra,2,0,2020-05-25
Andorra,1,0,2020-06-01
Andorra,88,0,2020-06-08
Andorra,1,0,2020-06-15
Andorra,2,1,2020-06-22
Andorra,0,0,2020-06-29
Andorra,0,0,2020-07-06
Andorra,0,0,2020-07-13
Andorra,25,0,2020-07-20
Andorra,17,0,2020-07-27
Andorra,28,0,2020-08-03
Andorra,31,0,2020-08-10
Andorra,33,1,2020-08-17
Andorra,56,0,2020-08-24
Andorra,79,0,2020-08-31
Andorra,91,0,2020-09-07
Andorra,129,0,2020-09-14
Andorra,220,0,2020-09-21
Andorra,272,0,2020-09-28
Andorra,274,0,2020-10-05
Andorra,586,2,2020-10-12
Andorra,681,4,2020-10-19
Andorra,661,10,2020-10-26
Andorra,787,6,2020-11-02
Andorra,558,0,2020-11-09
Andorra,489,1,2020-11-16
Andorra,384,0,2020-11-23
Andorra,456,0,2020-11-30
Andorra,338,2,2020-12-07
Andorra,288,1,2020-12-14
Andorra,239,2,2020-12-21
Andorra,10,1,2020-12-28
Andorra,490,2,2021-01-04
Andorra,401,5,2021-01-11
Andorra,466,5,2021-01-18
Andorra,388,5,2021-01-25
Andorra,314,5,2021-02-01
Andorra,287,1,2021-02-08
Andorra,161,0,2021-02-15
Armenia,0,0,2020-01-06
Armenia,0,0,2020-01-13
Armenia,0,0,2020-01-20
Armenia,0,0,2020-01-27
Armenia,0,0,2020-02-03
Armenia,0,0,2020-02-10
Armenia,0,0,2020-02-17
Armenia,0,0,2020-02-24
Armenia,1,0,2020-03-02
Armenia,0,0,2020-03-09
Armenia,27,0,2020-03-16
Armenia,166,0,2020-03-23
Armenia,288,3,2020-03-30
Armenia,351,5,2020-04-06
Armenia,206,6,2020-04-13
Armenia,300,8,2020-04-20
Armenia,469,7,2020-04-27
Armenia,699,10,2020-05-04
Armenia,885,7,2020-05-11
Armenia,1431,15,2020-05-18
Armenia,2290,26,2020-05-25
Armenia,2379,52,2020-06-01
Armenia,3833,72,2020-06-08
Armenia,3739,74,2020-06-15
Armenia,3524,75,2020-06-22
Armenia,4539,73,2020-06-29
Armenia,3809,58,2020-07-06
Armenia,3215,82,2020-07-13
Armenia,2830,77,2020-07-20
Armenia,2409,61,2020-07-27
Armenia,1712,51,2020-08-03
Armenia,1308,29,2020-08-10
Armenia,1253,27,2020-08-17
Armenia,1129,34,2020-08-24
Armenia,958,25,2020-08-31
Armenia,1033,20,2020-09-07
Armenia,1079,19,2020-09-14
Armenia,1569,14,2020-09-21
Armenia,1969,21,2020-09-28
Armenia,3096,26,2020-10-05
Armenia,3955,43,2020-10-12
Armenia,8243,61,2020-10-19
Armenia,14116,115,2020-10-26
Armenia,14638,195,2020-11-02
Armenia,14018,189,2020-11-09
Armenia,10420,208,2020-11-16
Armenia,8823,188,2020-11-23
Armenia,8415,188,2020-11-30
Armenia,7220,180,2020-12-07
Armenia,6338,159,2020-12-14
Armenia,5383,153,2020-12-21
Armenia,3883,119,2020-12-28
Armenia,2068,67,2021-01-04
Armenia,2388,67,2021-01-11
Armenia,1418,49,2021-01-18
Armenia,994,37,2021-01-25
Armenia,1089,39,2021-02-01
Armenia,1078,24,2021-02-08
Armenia,1147,17,2021-02-15
Austria,0,0,2020-01-06
Austria,0,0,2020-01-13
Austria,0,0,2020-01-20
Austria,0,0,2020-01-27
Austria,0,0,2020-02-03
Austria,0,0,2020-02-10
Austria,0,0,2020-02-17
Austria,0,0,2020-02-24
Austria,14,0,2020-03-02
Austria,88,0,2020-03-09
Austria,758,1,2020-03-16
Austria,2771,15,2020-03-23
Austria,5182,70,2020-03-30
Austria,3170,118,2020-04-06
Austria,1954,146,2020-04-13
Austria,773,102,2020-04-20
Austria,479,90,2020-04-27
Austria,349,56,2020-05-04
Austria,249,20,2020-05-11
Austria,367,11,2020-05-18
Austria,285,11,2020-05-25
Austria,203,28,2020-06-01
Austria,226,4,2020-06-08
Austria,170,5,2020-06-15
Austria,247,13,2020-06-22
Austria,340,12,2020-06-29
Austria,644,4,2020-07-06
Austria,578,2,2020-07-13
Austria,724,2,2020-07-20
Austria,915,2,2020-07-27
Austria,823,6,2020-08-03
Austria,702,3,2020-08-10
Austria,1362,7,2020-08-17
Austria,1866,4,2020-08-24
Austria,1979,1,2020-08-31
Austria,1976,3,2020-09-07
Austria,4141,20,2020-09-14
Austria,5222,10,2020-09-21
Austria,4909,21,2020-09-28
Austria,5152,26,2020-10-05
Austria,7365,51,2020-10-12
Austria,9574,46,2020-10-19
Austria,16979,74,2020-10-26
Austria,28574,130,2020-11-02
Austria,41398,221,2020-11-09
Austria,50986,344,2020-11-16
Austria,42630,520,2020-11-23
Austria,32058,705,2020-11-30
Austria,22794,828,2020-12-07
Austria,19060,668,2020-12-14
Austria,16186,816,2020-12-21
Austria,15164,656,2020-12-28
Austria,15133,378,2021-01-04
Austria,11406,383,2021-01-11
Austria,10421,348,2021-01-18
Austria,9451,291,2021-01-25
Austria,10467,287,2021-02-01
Austria,8442,161,2021-02-08
Austria,11848,157,2021-02-15
Azerbaijan,0,0,2020-01-06
Azerbaijan,0,0,2020-01-13
Azerbaijan,0,0,2020-01-20
Azerbaijan,0,0,2020-01-27
Azerbaijan,0,0,2020-02-03
Azerbaijan,0,0,2020-02-10
Azerbaijan,0,0,2020-02-17
Azerbaijan,0,0,2020-02-24
Azerbaijan,3,0,2020-03-02
Azerbaijan,6,0,2020-03-09
Azerbaijan,10,0,2020-03-16
Azerbaijan,46,1,2020-03-23
Azerbaijan,144,3,2020-03-30
Azerbaijan,375,3,2020-04-06
Azerbaijan,514,4,2020-04-13
Azerbaijan,300,8,2020-04-20
Azerbaijan,247,2,2020-04-27
Azerbaijan,287,4,2020-05-04
Azerbaijan,587,7,2020-05-11
Azerbaijan,755,7,2020-05-18
Azerbaijan,848,10,2020-05-25
Azerbaijan,1372,14,2020-06-01
Azerbaijan,2059,25,2020-06-08
Azerbaijan,2404,31,2020-06-15
Azerbaijan,2772,35,2020-06-22
Azerbaijan,3695,44,2020-06-29
Azerbaijan,3900,52,2020-07-06
Azerbaijan,3717,56,2020-07-13
Azerbaijan,3480,48,2020-07-20
Azerbaijan,2529,63,2020-07-27
Azerbaijan,2393,45,2020-08-03
Azerbaijan,1125,28,2020-08-10
Azerbaijan,651,16,2020-08-17
Azerbaijan,1055,12,2020-08-24
Azerbaijan,1035,13,2020-08-31
Azerbaijan,1020,17,2020-09-07
Azerbaijan,998,14,2020-09-14
Azerbaijan,861,13,2020-09-21
Azerbaijan,835,11,2020-09-28
Azerbaijan,668,10,2020-10-05
Azerbaijan,1291,13,2020-10-12
Azerbaijan,2982,17,2020-10-19
Azerbaijan,4995,45,2020-10-26
Azerbaijan,6485,69,2020-11-02
Azerbaijan,8967,100,2020-11-09
Azerbaijan,10277,127,2020-11-16
Azerbaijan,17406,164,2020-11-23
Azerbaijan,25101,230,2020-11-30
Azerbaijan,28484,271,2020-12-07
Azerbaijan,29195,290,2020-12-14
Azerbaijan,26214,288,2020-12-21
Azerbaijan,13395,328,2020-12-28
Azerbaijan,4562,193,2021-01-04
Azerbaijan,2564,96,2021-01-11
Azerbaijan,1641,71,2021-01-18
Azerbaijan,1187,39,2021-01-25
Azerbaijan,935,26,2021-02-01
Azerbaijan,1043,25,2021-02-08
Azerbaijan,1004,19,2021-02-15
Belarus,0,0,2020-01-06
Belarus,0,0,2020-01-13
Belarus,0,0,2020-01-20
Belarus,0,0,2020-01-27
Belarus,0,0,2020-02-03
Belarus,0,0,2020-02-10
Belarus,0,0,2020-02-17
Belarus,0,0,2020-02-24
Belarus,1,0,2020-03-02
Belarus,5,0,2020-03-09
Belarus,21,0,2020-03-16
Belarus,49,0,2020-03-23
Belarus,18,0,2020-03-30
Belarus,470,8,2020-04-06
Belarus,2014,18,2020-04-13
Belarus,3229,21,2020-04-20
Belarus,4656,25,2020-04-27
Belarus,6242,27,2020-05-04
Belarus,6268,32,2020-05-11
Belarus,6677,34,2020-05-18
Belarus,6548,34,2020-05-25
Belarus,6358,36,2020-06-01
Belarus,6074,34,2020-06-08
Belarus,5343,39,2020-06-15
Belarus,4532,38,2020-06-22
Belarus,2970,37,2020-06-29
Belarus,2079,40,2020-07-06
Belarus,1378,41,2020-07-13
Belarus,1163,35,2020-07-20
Belarus,1037,35,2020-07-27
Belarus,935,33,2020-08-03
Belarus,783,20,2020-08-10
Belarus,666,23,2020-08-17
Belarus,952,32,2020-08-24
Belarus,1219,34,2020-08-31
Belarus,1172,35,2020-09-07
Belarus,1314,39,2020-09-14
Belarus,1501,30,2020-09-21
Belarus,1935,38,2020-09-28
Belarus,2686,39,2020-10-05
Belarus,3239,39,2020-10-12
Belarus,4164,33,2020-10-19
Belarus,5125,28,2020-10-26
Belarus,6636,28,2020-11-02
Belarus,6820,22,2020-11-09
Belarus,7906,39,2020-11-16
Belarus,9814,50,2020-11-23
Belarus,11009,55,2020-11-30
Belarus,12149,56,2020-12-07
Belarus,13138,56,2020-12-14
Belarus,13228,61,2020-12-21
Belarus,15065,70,2020-12-28
Belarus,14031,75,2021-01-04
Belarus,13367,65,2021-01-11
Belarus,10251,58,2021-01-18
Belarus,10725,69,2021-01-25
Belarus,10163,65,2021-02-01
Belarus,10188,66,2021-02-08
Belarus,10769,72,2021-02-15
Belgium,0,0,2020-01-06
Belgium,0,0,2020-01-13
Belgium,0,0,2020-01-20
Belgium,0,0,2020-01-27
Belgium,0,0,2020-02-03
Belgium,0,0,2020-02-10
Belgium,0,0,2020-02-17
Belgium,343,0,2020-02-24
Belgium,-324,0,2020-03-02
Belgium,388,0,2020-03-09
Belgium,1348,18,2020-03-16
Belgium,3673,198,2020-03-23
Belgium,8130,782,2020-03-30
Belgium,9694,1584,2020-04-06
Belgium,11175,1979,2020-04-13
Belgium,7963,1667,2020-04-20
Belgium,5703,1195,2020-04-27
Belgium,3095,698,2020-05-04
Belgium,3051,535,2020-05-11
Belgium,2071,314,2020-05-18
Belgium,1510,230,2020-05-25
Belgium,1144,160,2020-06-01
Belgium,847,113,2020-06-08
Belgium,671,58,2020-06-15
Belgium,668,43,2020-06-22
Belgium,607,39,2020-06-29
Belgium,637,25,2020-07-06
Belgium,704,13,2020-07-13
Belgium,1385,19,2020-07-20
Belgium,2489,15,2020-07-27
Belgium,3759,20,2020-08-03
Belgium,4340,30,2020-08-10
Belgium,3751,75,2020-08-17
Belgium,3453,42,2020-08-24
Belgium,3121,28,2020-08-31
Belgium,3655,17,2020-09-07
Belgium,6158,19,2020-09-14
Belgium,10108,27,2020-09-21
Belgium,11274,39,2020-09-28
Belgium,18884,84,2020-10-05
Belgium,38831,139,2020-10-12
Belgium,72200,236,2020-10-19
Belgium,105333,502,2020-10-26
Belgium,99548,1056,2020-11-02
Belgium,53994,1411,2020-11-09
Belgium,33962,1328,2020-11-16
Belgium,22306,1123,2020-11-23
Belgium,16255,874,2020-11-30
Belgium,15276,699,2020-12-07
Belgium,16794,666,2020-12-14
Belgium,17684,654,2020-12-21
Belgium,12585,534,2020-12-28
Belgium,14748,384,2021-01-04
Belgium,14074,345,2021-01-11
Belgium,15317,372,2021-01-18
Belgium,16876,297,2021-01-25
Belgium,15252,303,2021-02-01
Belgium,12813,280,2021-02-08
Belgium,15392,211,2021-02-15
Bosnia and Herzegovina,18,0,2020-03-16
Bosnia and Herzegovina,107,1,2020-03-23
Bosnia and Herzegovina,198,5,2020-03-30
Bosnia and Herzegovina,340,18,2020-04-06
Bosnia and Herzegovina,344,14,2020-04-13
Bosnia and Herzegovina,262,8,2020-04-20
Bosnia and Herzegovina,247,12,2020-04-27
Bosnia and Herzegovina,341,18,2020-05-04
Bosnia and Herzegovina,260,31,2020-05-11
Bosnia and Herzegovina,172,25,2020-05-18
Bosnia and Herzegovina,111,11,2020-05-25
Bosnia and Herzegovina,109,9,2020-06-01
Bosnia and Herzegovina,164,7,2020-06-08
Bosnia and Herzegovina,328,4,2020-06-15
Bosnia and Herzegovina,430,6,2020-06-22
Bosnia and Herzegovina,784,13,2020-06-29
Bosnia and Herzegovina,1178,11,2020-07-06
Bosnia and Herzegovina,1491,27,2020-07-13
Bosnia and Herzegovina,1568,30,2020-07-20
Bosnia and Herzegovina,1617,33,2020-07-27
Bosnia and Herzegovina,2039,60,2020-08-03
Bosnia and Herzegovina,2217,59,2020-08-10
Bosnia and Herzegovina,1210,67,2020-08-17
Bosnia and Herzegovina,2365,60,2020-08-24
Bosnia and Herzegovina,1889,63,2020-08-31
Bosnia and Herzegovina,1353,47,2020-09-07
Bosnia and Herzegovina,2320,50,2020-09-14
Bosnia and Herzegovina,1962,68,2020-09-21
Bosnia and Herzegovina,1493,53,2020-09-28
Bosnia and Herzegovina,1058,61,2020-10-05
Bosnia and Herzegovina,2670,50,2020-10-12
Bosnia and Herzegovina,3475,63,2020-10-19
Bosnia and Herzegovina,6774,102,2020-10-26
Bosnia and Herzegovina,10611,162,2020-11-02
Bosnia and Herzegovina,10918,262,2020-11-09
Bosnia and Herzegovina,8477,347,2020-11-16
Bosnia and Herzegovina,9107,419,2020-11-23
Bosnia and Herzegovina,7367,344,2020-11-30
Bosnia and Herzegovina,7133,332,2020-12-07
Bosnia and Herzegovina,6610,384,2020-12-14
Bosnia and Herzegovina,4407,289,2020-12-21
Bosnia and Herzegovina,4167,328,2020-12-28
Bosnia and Herzegovina,3113,227,2021-01-04
Bosnia and Herzegovina,2325,128,2021-01-11
Bosnia and Herzegovina,2060,107,2021-01-18
Bosnia and Herzegovina,2056,131,2021-01-25
Bosnia and Herzegovina,1745,76,2021-02-01
Bosnia and Herzegovina,2195,116,2021-02-08
Bosnia and Herzegovina,1398,63,2021-02-15
Bulgaria,4,0,2020-03-09
Bulgaria,47,2,2020-03-16
Bulgaria,134,1,2020-03-23
Bulgaria,161,5,2020-03-30
Bulgaria,185,12,2020-04-06
Bulgaria,144,9,2020-04-13
Bulgaria,240,14,2020-04-20
Bulgaria,385,13,2020-04-27
Bulgaria,318,17,2020-05-04
Bulgaria,347,18,2020-05-11
Bulgaria,270,19,2020-05-18
Bulgaria,198,20,2020-05-25
Bulgaria,80,10,2020-06-01
Bulgaria,214,20,2020-06-08
Bulgaria,563,14,2020-06-15
Bulgaria,615,25,2020-06-22
Bulgaria,786,20,2020-06-29
Bulgaria,1049,27,2020-07-06
Bulgaria,1512,22,2020-07-13
Bulgaria,1481,32,2020-07-20
Bulgaria,1694,40,2020-07-27
Bulgaria,1528,48,2020-08-03
Bulgaria,1441,59,2020-08-10
Bulgaria,969,51,2020-08-17
Bulgaria,922,47,2020-08-24
Bulgaria,903,68,2020-08-31
Bulgaria,860,58,2020-09-07
Bulgaria,868,49,2020-09-14
Bulgaria,945,41,2020-09-21
Bulgaria,1192,35,2020-09-28
Bulgaria,1532,48,2020-10-05
Bulgaria,2815,48,2020-10-12
Bulgaria,5101,94,2020-10-19
Bulgaria,8386,108,2020-10-26
Bulgaria,16180,204,2020-11-02
Bulgaria,21091,367,2020-11-09
Bulgaria,23091,465,2020-11-16
Bulgaria,23569,750,2020-11-23
Bulgaria,20666,934,2020-11-30
Bulgaria,18935,983,2020-12-07
Bulgaria,18028,891,2020-12-14
Bulgaria,11746,921,2020-12-21
Bulgaria,6521,555,2020-12-28
Bulgaria,5460,448,2021-01-04
Bulgaria,3302,357,2021-01-11
Bulgaria,3004,337,2021-01-18
Bulgaria,3931,225,2021-01-25
Bulgaria,4986,286,2021-02-01
Bulgaria,5945,293,2021-02-08
Bulgaria,6987,230,2021-02-15
Croatia,0,0,2020-01-06
Croatia,0,0,2020-01-13
Croatia,0,0,2020-01-20
Croatia,0,0,2020-01-27
Croatia,0,0,2020-02-03
Croatia,0,0,2020-02-10
Croatia,0,0,2020-02-17
Croatia,0,0,2020-02-24
Croatia,7,0,2020-03-02
Croatia,5,0,2020-03-09
Croatia,36,0,2020-03-16
Croatia,187,0,2020-03-23
Croatia,478,6,2020-03-30
Croatia,469,9,2020-04-06
Croatia,418,8,2020-04-13
Croatia,271,24,2020-04-20
Croatia,159,8,2020-04-27
Croatia,66,24,2020-05-04
Croatia,91,11,2020-05-11
Croatia,39,5,2020-05-18
Croatia,18,4,2020-05-25
Croatia,2,4,2020-06-01
Croatia,1,1,2020-06-08
Croatia,5,3,2020-06-15
Croatia,65,0,2020-06-22
Croatia,374,0,2020-06-29
Croatia,460,6,2020-07-06
Croatia,571,6,2020-07-13
Croatia,632,1,2020-07-20
Croatia,503,16,2020-07-27
Croatia,403,13,2020-08-03
Croatia,344,8,2020-08-10
Croatia,967,9,2020-08-17
Croatia,1604,5,2020-08-24
Croatia,1948,13,2020-08-31
Croatia,1841,14,2020-09-07
Croatia,1569,26,2020-09-14
Croatia,1389,24,2020-09-21
Croatia,1275,24,2020-09-28
Croatia,1462,26,2020-10-05
Croatia,2781,26,2020-10-12
Croatia,5140,39,2020-10-19
Croatia,10800,74,2020-10-26
Croatia,15115,125,2020-11-02
Croatia,15752,232,2020-11-09
Croatia,16959,255,2020-11-16
Croatia,19512,304,2020-11-23
Croatia,22894,359,2020-11-30
Croatia,23741,462,2020-12-07
Croatia,25533,466,2020-12-14
Croatia,19842,617,2020-12-21
Croatia,9518,482,2020-12-28
Croatia,7265,331,2021-01-04
Croatia,4905,252,2021-01-11
Croatia,3926,204,2021-01-18
Croatia,3466,195,2021-01-25
Croatia,2953,144,2021-02-01
Croatia,2252,141,2021-02-08
Croatia,2292,110,2021-02-15
Cyprus,30,0,2020-03-16
Cyprus,65,0,2020-03-23
Cyprus,119,6,2020-03-30
Cyprus,232,3,2020-04-06
Cyprus,187,2,2020-04-13
Cyprus,134,1,2020-04-20
Cyprus,50,2,2020-04-27
Cyprus,55,1,2020-05-04
Cyprus,26,1,2020-05-11
Cyprus,18,1,2020-05-18
Cyprus,19,0,2020-05-25
Cyprus,9,0,2020-06-01
Cyprus,20,1,2020-06-08
Cyprus,19,0,2020-06-15
Cyprus,3,1,2020-06-22
Cyprus,8,0,2020-06-29
Cyprus,9,0,2020-07-06
Cyprus,18,0,2020-07-13
Cyprus,17,0,2020-07-20
Cyprus,19,0,2020-07-27
Cyprus,93,0,2020-08-03
Cyprus,92,0,2020-08-10
Cyprus,90,1,2020-08-17
Cyprus,89,1,2020-08-24
Cyprus,66,0,2020-08-31
Cyprus,22,0,2020-09-07
Cyprus,17,0,2020-09-14
Cyprus,74,1,2020-09-21
Cyprus,96,0,2020-09-28
Cyprus,128,0,2020-10-05
Cyprus,162,3,2020-10-12
Cyprus,658,0,2020-10-19
Cyprus,901,0,2020-10-26
Cyprus,1018,1,2020-11-02
Cyprus,1424,1,2020-11-09
Cyprus,1191,13,2020-11-16
Cyprus,1465,4,2020-11-23
Cyprus,1740,4,2020-11-30
Cyprus,2068,13,2020-12-07
Cyprus,2650,17,2020-12-14
Cyprus,2587,13,2020-12-21
Cyprus,1969,21,2020-12-28
Cyprus,3376,17,2021-01-04
Cyprus,1618,22,2021-01-11
Cyprus,1049,16,2021-01-18
Cyprus,859,13,2021-01-25
Cyprus,883,13,2021-02-01
Cyprus,754,9,2021-02-08
Cyprus,747,8,2021-02-15
Czechia,0,0,2020-01-06
Czechia,0,0,2020-01-13
Czechia,0,0,2020-01-20
Czechia,0,0,2020-01-27
Czechia,0,0,2020-02-03
Czechia,0,0,2020-02-10
Czechia,0,0,2020-02-17
Czechia,0,0,2020-02-24
Czechia,3,0,2020-03-02
Czechia,29,0,2020-03-09
Czechia,266,0,2020-03-16
Czechia,867,1,2020-03-23
Czechia,1664,15,2020-03-30
Czechia,1758,51,2020-04-06
Czechia,1404,71,2020-04-13
Czechia,796,50,2020-04-20
Czechia,617,33,2020-04-27
Czechia,377,27,2020-05-04
Czechia,342,32,2020-05-11
Czechia,352,17,2020-05-18
Czechia,482,18,2020-05-25
Czechia,316,5,2020-06-01
Czechia,355,7,2020-06-08
Czechia,396,2,2020-06-15
Czechia,474,7,2020-06-22
